kamar;bangunan;lahan;harga
1;1;60;160000000
5;150;150;3300000000
4;204;153;3500000000
4;110;75;1700000000
5;535;567;10900000000
4;350;268;2700000000
2;70;80;700000000
3;75;91;750000000
2;150;154;550000000
2;30;50;225000000
2;105;93;1600000000
3;190;138;2400000000
2;65;65;965000000
3;150;180;2300000000
2;55;70;780000000
2;70;154;660000000
2;65;126;1550000000
6;900;400;21000000000
3;125;95;1200000000
3;110;115;575000000
4;200;250;5900000000
4;120;200;1600000000
5;150;196;3000000000
9;400;360;2800000000
5;120;135;1500000000
5;300;197;3200000000
5;280;200;3600000000
5;210;210;2800000000
3;60;66;600000000
4;240;167;2950000000
4;330;606;4500000000
3;60;80;475000000
3;200;280;1700000000
4;460;525;3700000000
6;701;461;9410000000
5;432;510;5250000000
3;200;165;1800000000
3;84;84;800000000
4;120;90;1850000000
4;100;160;1375000000
2;30;60;371990000
3;50;60;646900000
5;255;140;2750000000
3;82;123;954000000
5;380;511;850000000
3;400;330;3100000000
2;60;90;728099000
3;190;80;1500000000
4;180;185;2600000000
4;177;679;22000000000
4;160;180;2750000000
4;78;78;726000000
6;450;373;3800000000
2;75;104;650000000
8;224;220;4000000000
6;535;803;14000000000
2;128;57;1390000000
9;230;624;14000000000
3;0;115;850000000
3;50;60;547000000
2;45;113;860250000
3;160;178;1500000000
3;200;1526;3800000000
3;404;600;9500000000
3;150;114;1950000000
5;300;300;2900000000
4;175;140;2500000000
2;40;55;225000000
2;58;89;737200000
3;80;70;745000000
4;180;150;1500000000
2;40;84;1169900000
4;140;195;2200000000
6;72;312;1200000000
2;36;72;550000000
4;140;195;2200000000
2;36;84;365000000
5;288;240;2100000000
2;48;98;785000000
4;180;100;1700000000
5;500;672;7500000000
2;36;48;135000000
3;71;85;800000000
3;70;119;980000000
3;150;217;1250000000
2;36;72;550000000
8;200;110;850000000
5;300;2200;16000000000
3;84;66;750000000
3;70;71;590000000
3;10;126;1300000000
4;200;380;11000000000
3;250;202;5000000000
10;1200;4015;57000000000
3;112;158;1000000000
6;180;96;975000000
3;165;126;1500000000
2;80;60;525000000
2;100;111;1200000000
4;150;154;1450000000
3;80;60;799000000
7;1400;2100;29000000000
4;65;72;1035000000
3;245;512;8100000000
5;158;220;7000000000
0;500;850;34000000000
3;500;390;7900000000
7;500;390;7500000000
5;100;140;1300000000
4;180;155;1250000000
5;190;100;1375000000
3;180;126;2300000000
3;82;95;1135750000
4;200;310;2800000000
4;160;144;1400000000
4;500;1074;5300000000
4;128;120;2600000000
3;300;215;2700000000
3;112;74;1400000000
4;141;91;1350000000
4;150;150;1600000000
3;94;97;1100000000
2;55;75;770000000
2;72;138;1500000000
3;94;102;1750000000
2;600;800;38000000000
4;350;268;2750000000
